Módulo,programa,no_clase,salon,fecha_inicio,fecha_fin,dia,hora_inicio,hora_fin
Comunicación y Persuasión,Maestría en Comunicación Política y Pública,1172,JEREZ 01,2023-02-10,2023-03-11,Viernes,18:00:00 ,21:00:00 
Comunicación y Persuasión,Maestría en Comunicación Política y Pública,1172,JEREZ 01,2023-02-10,2023-03-11,Sábado,9:00:00 ,12:00:00 
Estrategias para Campañas Polí,Maestría en Comunicación Política y Pública,1173,JEREZ 01,2023-03-24,2023-05-06,Viernes,18:00:00 ,21:00:00 
Estrategias para Campañas Polí,Maestría en Comunicación Política y Pública,1173,JEREZ 01,2023-03-24,2023-05-06,Sábado,9:00:00 ,12:00:00 
Diplomacia Pública y Cultural,Maestría en Comunicación Política y Pública,1175,JEREZ 01,2023-05-19,2023-06-17,Viernes,18:00:00 ,21:00:00 
Diplomacia Pública y Cultural,Maestría en Comunicación Política y Pública,1175,JEREZ 01,2023-05-19,2023-06-17,Sábado,9:00:00 ,12:00:00 
Asuntos Públicos y desarrollo social,Maestría en Comunicación Política y Pública,1174,JEREZ 01,2023-06-30,2023-07-29,Viernes,18:00:00 ,21:00:00 
Asuntos Públicos y desarrollo social,Maestría en Comunicación Política y Pública,1174,JEREZ 01,2023-06-30,2023-07-29,Sábado,9:00:00 ,12:00:00 
Manejo de Big Data,Maestría en Narrativa y Producción Audiovisual,1096,R 17,2023-01-13,2023-01-28,Viernes,18:00:00 ,21:00:00 
MAnejo de Big Data,Maestría en Narrativa y Producción Audiovisual,1096,R 17,2023-01-13,2023-01-28,Sábado,9:00:00 ,12:00:00 
Ética de la Comunicación,Maestría en Narrativa y Producción Audiovisual,1097,R 33,2023-02-17,2023-03-11,Sábado,9:00:00 ,12:00:00 
Ética de la Comunicación,Maestría en Narrativa y Producción Audiovisual,1097,R 34,2023-02-17,2023-03-11,Viernes,18:00:00 ,21:00:00 
Seminario de Titulación,Maestría en Narrativa y Producción Audiovisual,1098,JEREZ 02,2023-03-17,2023-04-01,Sábado,9:00:00 ,12:00:00 
Seminario de Titulación,Maestría en Narrativa y Producción Audiovisual,1098,JEREZ 02,2023-03-17,2023-04-01,Viernes,18:00:00 ,21:00:00 
Desarrollo de Contenidos Audio,Maestría en Narrativa y Producción Audiovisual,1157,R 13,2023-01-13,2023-02-04,Viernes,18:00:00 ,21:00:00 
Desarrollo de Contenidos Audio,Maestría en Narrativa y Producción Audiovisual,1157,R 46,2023-01-13,2023-02-04,Sábado,9:00:00 ,12:00:00 
Empresa Audiovisual y Marco No,Maestría en Narrativa y Producción Audiovisual,1158,R 42,2023-02-17,2023-03-11,Viernes,18:00:00 ,21:00:00 
Empresa Audiovisual y Marco No,Maestría en Narrativa y Producción Audiovisual,1158,R 46,2023-02-17,2023-03-11,Sábado,9:00:00 ,12:00:00 
Procesos de Producción,Maestría en Narrativa y Producción Audiovisual,1160,R 42,2023-03-24,2023-04-29,Viernes,18:00:00 ,21:00:00 
Procesos de Producción,Maestría en Narrativa y Producción Audiovisual,1160,R 46,2023-03-24,2023-04-29,Sábado,9:00:00 ,12:00:00 
Paradigmas Artísticos en el D,Maestría en Narrativa y Producción Audiovisual,1159,R 42,2023-05-12,2023-06-10,Viernes,18:00:00 ,21:00:00 
Paradigmas Artísticos en el D,Maestría en Narrativa y Producción Audiovisual,1159,R 46,2023-05-12,2023-06-10,Sábado,9:00:00 ,12:00:00 
Principios de realización audiovisual,Maestría en Narrativa y Producción Audiovisual,11899,R 42,2023-06-16,2023-07-15,Viernes,18:00:00 ,21:00:00 
Principios de realización audiovisual,Maestría en Narrativa y Producción Audiovisual,11899,R 46,2023-06-16,2023-07-15,Sábado,9:00:00 ,12:00:00 
