"no_clase","nombre_modulo","dia","fecha","hora_inicio","hora_fin","programa","num_servicios","salon","escuela"
"10653","Finanzas Públicas","Viernes","2023-02-03","16:00:00","21:00:00","Maestría en Gobierno y Políticas Públicas",18,"SF_6-4","Gobierno y Economía"
"11609","Fiscalización y rendición de","Sábado","2023-03-04","09:00:00","13:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"11609","Fiscalización y rendición de","Viernes","2023-03-03","16:00:00","20:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"11609","Fiscalización y rendición de","Viernes","2023-03-17","16:00:00","20:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"11609","Fiscalización y rendición de","Viernes","2023-03-10","09:00:00","13:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"11609","Fiscalización y rendición de","Viernes","2023-03-10","16:00:00","20:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"11609","Fiscalización y rendición de","Viernes","2023-03-31","16:00:00","20:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"11614","Financiamiento del delito y su","Viernes","2023-01-06","16:00:00","20:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"11614","Financiamiento del delito y su","Sábado","2022-12-09","09:00:00","13:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"11614","Financiamiento del delito y su","Sábado","2023-01-14","09:00:00","13:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"11614","Financiamiento del delito y su","Viernes","2023-01-13","16:00:00","20:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"11614","Financiamiento del delito y su","Viernes","2023-01-20","16:00:00","21:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"11614","Financiamiento del delito y su","Sábado","2023-02-11","09:00:00","13:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"11614","Financiamiento del delito y su","Viernes","2023-02-10","16:00:00","20:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"11614","Financiamiento del delito y su","Viernes","2023-01-06","16:00:00","20:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"11614","Financiamiento del delito y su","Sábado","2022-12-09","09:00:00","13:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"11614","Financiamiento del delito y su","Viernes","2023-02-24","16:00:00","21:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"11614","Financiamiento del delito y su","Sábado","2023-01-14","09:00:00","13:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
"11614","Financiamiento del delito y su","Viernes","2023-01-13","16:00:00","20:00:00","Maestría en Anticorrupción",12,NULL,"Gobierno y Economía"
