"no_clase","nombre_modulo","dia","fecha","hora_inicio","hora_fin","programa","num_servicios","salon","escuela"
"1257","Funcionalidad auditiva para ha","Martes","2023-05-30","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Pedagogía"
"1257","Funcionalidad auditiva para ha","Martes","2023-05-02","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Pedagogía"
"1257","Funcionalidad auditiva para ha","Martes","2023-05-23","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Pedagogía"
"1257","Funcionalidad auditiva para ha","Martes","2023-05-16","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Pedagogía"
"1208","Procesos de memoria y aprendiz","Martes","2023-03-07","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Pedagogía"
"1208","Procesos de memoria y aprendiz","Martes","2023-03-28","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Pedagogía"
"1208","Procesos de memoria y aprendiz","Martes","2023-03-14","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Pedagogía"
"1208","Procesos de memoria y aprendiz","Martes","2023-04-18","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Pedagogía"
"1208","Procesos de memoria y aprendiz","Martes","2023-03-21","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Pedagogía"
"1208","Procesos de memoria y aprendiz","Martes","2023-04-25","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Pedagogía"
"1254","Lateralidad y rendimiento esco","Martes","2023-01-24","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 16","Pedagogía"
"1254","Lateralidad y rendimiento esco","Martes","2023-02-14","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 16","Pedagogía"
"1254","Lateralidad y rendimiento esco","Martes","2023-02-07","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 16","Pedagogía"
"1254","Lateralidad y rendimiento esco","Martes","2023-02-28","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 16","Pedagogía"
"1254","Lateralidad y rendimiento esco","Martes","2023-01-31","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 16","Pedagogía"
"1254","Lateralidad y rendimiento esco","Martes","2023-02-21","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 16","Pedagogía"
"1441","Selección de Materiales para","Sábado","2022-11-26","08:00:00","14:00:00","Especialidad en Desarrollo del Talento Humano",8,"R 20","Pedagogía"
