 f,programa,no_clase,salon,fecha_inicio,fecha_fin,dia,hora_inicio,hora_fin
Ética Empresarial y Responsabi,Maestría en Impuestos,1211,R 43,2023-01-20,2023-04-01,Sábado,8:00:00 ,11:00:00 
Ética Empresarial y Responsabi,Maestría en Impuestos,1129,NR 03,2023-01-21,2023-04-01,Sábado,8:00:00 ,11:00:00 
Dirección Estratégica,Maestría en Impuestos,1222,NR 02,2023-01-20,2023-04-01,Sábado,11:00:00 ,14:00:00 
Dirección Estratégica,Maestría en Impuestos,1224,NR 09,2023-01-21,2023-04-01,Sábado,11:00:00 ,14:00:00 
Dirección Estratégica,Maestría en Impuestos,1128,NR 03,2023-01-20,2023-04-01,Sábado,11:00:00 ,14:00:00 
Dirección Estratégica,Maestría en Impuestos,1223,R 37,2023-01-21,2023-04-01,Sábado,11:00:00 ,14:00:00 
Política Fiscal y Marco Tribut,Maestría en Impuestos,1148,R 33,2023-04-22,2023-06-24,Sábado,11:00:00 ,14:00:00 
ISR Personas Morales,Maestría en Impuestos,1146,R 33,2023-04-21,2023-07-10,Sábado,8:00:00 ,11:00:00 
Impuestos Indirectos,Maestría en Impuestos,1131,NR 08,2023-01-21,2023-04-01,Sábado,11:00:00 ,14:00:00 
Impuestos Corporativos,Maestría en Impuestos,1130,NR 04,2023-01-20,2023-04-01,Sábado,8:00:00 ,11:00:00 
ISR Personas Físicas,Maestría en Impuestos,1150,R 29,2023-04-22,2023-06-24,Sábado,11:00:00 ,14:00:00 
Aspectos Internacionales de lo,Maestría en Impuestos,1149,R 29,2023-04-21,2023-07-01,Sábado,8:00:00 ,11:00:00 
Regímenes Especiales de ISR,Maestría en Impuestos,1132,R 30,2023-01-20,2023-04-01,Sábado,8:00:00 ,11:00:00 
Contribuciones del Trabajo,Maestría en Impuestos,1133,R 30,2023-01-21,2023-04-01,Sábado,11:00:00 ,14:00:00 
Aspectos Fiscales del Comercio,Maestría en Impuestos,1152,R 28,2023-04-22,2023-06-24,Sábado,11:00:00 ,14:00:00 
Procedimientos Administrativos,Maestría en Impuestos,1151,R 28,2023-04-21,2023-07-01,Sábado,8:00:00 ,11:00:00 
Introducción a la Tributación,Maestría en Impuestos,1147,R 33,2023-01-20,2023-04-01,Sábado,8:00:00 ,11:00:00 
Precios de Transferencia,Maestría en Impuestos,1160,R 33,2023-01-21,2023-04-01,Sábado,11:00:00 ,14:00:00 
Gestión Tributaria Internacion,Maestría en Impuestos,1154,NR 01,2023-04-21,2023-07-01,Sábado,8:00:00 ,11:00:00 
Análisis Comparativo del ISR,Maestría en Impuestos,1156,NR 01,2023-04-22,2023-06-24,Sábado,11:00:00 ,14:00:00 
Ética Empresarial y Responsabi,Maestría en Mercadotecnia Estratégica,1216,NR 09,2023-01-20,2023-04-01,Sábado,8:00:00 ,11:00:00 
Ética Empresarial y Responsabi,Maestría en Mercadotecnia Estratégica,1214,NR 03,2023-01-21,2023-04-01,Sábado,8:00:00 ,11:00:00 
Ética Empresarial y Responsabi,Maestría en Mercadotecnia Estratégica,1215,R 43,2023-01-20,2023-04-01,Sábado,8:00:00 ,11:00:00 
Ética Empresarial y Responsabi,Maestría en Mercadotecnia Estratégica,1213,NR 02,2023-01-21,2023-04-01,Sábado,8:00:00 ,11:00:00 
Dirección Estratégica,Maestría en Mercadotecnia Estratégica,1226,NR 03,2023-01-20,2023-04-01,Sábado,11:00:00 ,14:00:00 
Dirección Estratégica,Maestría en Mercadotecnia Estratégica,1228,NR 09,2023-01-21,2023-04-01,Sábado,11:00:00 ,14:00:00 
Dirección Estratégica,Maestría en Mercadotecnia Estratégica,1225,NR 02,2023-01-20,2023-04-01,Sábado,11:00:00 ,14:00:00 
Dirección Estratégica,Maestría en Mercadotecnia Estratégica,1227,R 37,2023-01-21,2023-04-01,Sábado,11:00:00 ,14:00:00 
Gestión Estratégica de Precios,Maestría en Mercadotecnia Estratégica,1081,NR 06,2023-01-20,2023-04-01,Sábado,8:00:00 ,11:00:00 
Comunicaciones Integrales de M,Maestría en Mercadotecnia Estratégica,1100,NR 07,2023-04-22,2023-06-24,Sábado,11:00:00 ,14:00:00 
Análisis Financiero de la Merc,Maestría en Mercadotecnia Estratégica,1097,NR 07,2023-04-21,2023-07-01,Sábado,8:00:00 ,11:00:00 
Gestión de Relación con los Cl,Maestría en Mercadotecnia Estratégica,1086,NR 06,2023-01-21,2023-04-01,Sábado,11:00:00 ,14:00:00 
Gestión Estratégica de Ventas ,Maestría en Mercadotecnia Estratégica,1088,NR 07,2023-01-20,2023-04-01,Sábado,8:00:00 ,11:00:00 
Evolución de la Mercadotecnia,Maestría en Mercadotecnia Estratégica,1099,NR 07,2023-01-21,2023-04-01,Sábado,11:00:00 ,14:00:00 
Inteligencia de Negocios en un,Maestría en Mercadotecnia Estratégica,1102,NR 04,2023-04-21,2023-07-01,Sábado,8:00:00 ,11:00:00 
Nuevos Modelos de Mercadotecni,Maestría en Mercadotecnia Estratégica,1104,NR 04,2023-04-22,2023-06-24,Sábado,11:00:00 ,14:00:00 
Organizaciones Ambidiestras,Maestría en Mercadotecnia Estratégica,1098,NR 05,2023-01-21,2023-04-01,Sábado,11:00:00 ,14:00:00 
Metodologías Ágiles para la In,Maestría en Mercadotecnia Estratégica,1107,NR 05,2023-04-22,2023-06-24,Sábado,11:00:00 ,14:00:00 
Big data y Megatendencias,Maestría en Mercadotecnia Estratégica,1105,NR 05,2023-04-21,2023-07-01,Sábado,8:00:00 ,11:00:00 
Negocios Internacionales de Se,Maestría en Negocios Internacionales,1101,R 35,2023-01-20,2023-04-01,Sábado,8:00:00 ,11:00:00 
Formas de Pago Internacional,Maestría en Negocios Internacionales,1109,R 32,2023-01-20,2023-04-01,Sábado,8:00:00 ,11:00:00 
Contratos Internacionales,Maestría en Negocios Internacionales,1165,R 32,2023-01-21,2023-04-01,Sábado,11:00:00 ,14:00:00 
Transporte Internacional de Me,Maestría en Negocios Internacionales,1103,R 35,2023-01-21,2023-04-01,Sábado,11:00:00 ,14:00:00 
Marco Regulatorio del Comercio,Maestría en Negocios Internacionales,1106,,2023-04-22,2023-06-24,Sábado,11:00:00 ,14:00:00 
Aspectos Estratégicos del Proc,Maestría en Negocios Internacionales,1108,R 35,2023-04-21,2023-07-01,Sábado,8:00:00 ,11:00:00 
Organizaciones Ambidiestras,Maestría en Negocios Internacionales,1161,NR 05,2023-01-21,2023-04-01,Sábado,11:00:00 ,14:00:00 
Metodologías Ágiles para la In,Maestría en Negocios Internacionales,1164,NR 05,2023-04-22,2023-06-24,Sábado,11:00:00 ,14:00:00 
Big data y Megatendencias,Maestría en Negocios Internacionales,1163,NR 05,2023-04-21,2023-07-01,Sábado,8:00:00 ,11:00:00 
