 f,programa,no_clase,salon,fecha_inicio,fecha_fin,dia,hora_inicio,hora_fin
Seminario de Investigación II,Doctorado en Ciencias Empresariales,1140,R 11,2023-01-14,2023-05-13,Sábado,9:00:00 ,12:00:00 
Seminario de Investigación II,Doctorado en Ciencias Empresariales,1140,JEREZ 01,2023-02-24,2023-03-01,Lunes,7:00:00 ,9:30:00 
Seminario de Investigación II,Doctorado en Ciencias Empresariales,1140,JEREZ 01,2023-02-24,2023-03-01,Miercoles,7:00:00 ,9:30:00 
Seminario de Investigación II,Doctorado en Ciencias Empresariales,1140,JEREZ 01,2023-02-24,2023-03-01,Viernes,7:00:00 ,9:30:00 
Seminario de Investigación II,Doctorado en Ciencias Empresariales,1140,,2023-02-24,2023-03-01,Sábado,9:00:00 ,12:00:00 
Seminario de Investigación II,Doctorado en Ciencias Empresariales,1140,JEREZ 01,2023-02-24,2023-03-01,Lunes,7:00:00 ,9:30:00 
Seminario de Investigación II,Doctorado en Ciencias Empresariales,1140,JEREZ 01,2023-02-24,2023-03-01,Miercoles,7:00:00 ,9:30:00 
Seminario de Investigación II,Doctorado en Ciencias Empresariales,1140,JEREZ 01,2023-02-24,2023-03-01,Viernes,7:00:00 ,9:30:00 
Seminario de Investigación II,Doctorado en Ciencias Empresariales,1140,,2023-02-24,2023-03-01,Sábado,9:00:00 ,12:00:00 
Seminario de Investigación IV,Doctorado en Ciencias Empresariales,1137,R 11,2023-01-12,2023-05-11,Jueves,19:00:00 ,22:00:00 
Seminario de Investigación IV,Doctorado en Ciencias Empresariales,1137,JEREZ 01,2023-01-20,2023-01-27,Lunes,7:00:00 ,9:30:00 
Seminario de Investigación IV,Doctorado en Ciencias Empresariales,1137,JEREZ 01,2023-01-20,2023-01-27,Miercoles,7:00:00 ,9:30:00 
Seminario de Investigación IV,Doctorado en Ciencias Empresariales,1137,JEREZ 01,2023-01-20,2023-01-27,Viernes,7:00:00 ,9:30:00 
Seminario de Investigación IV,Doctorado en Ciencias Empresariales,1137,,2023-01-28,2023-01-28,Sábado,9:00:00 ,12:00:00 
Seminario de Investigación IV,Doctorado en Ciencias Empresariales,1137,JEREZ 01,2023-01-20,2023-01-27,Lunes,7:00:00 ,9:30:00 
Seminario de Investigación IV,Doctorado en Ciencias Empresariales,1137,JEREZ 01,2023-01-20,2023-01-27,Miercoles,7:00:00 ,9:30:00 
Seminario de Investigación IV,Doctorado en Ciencias Empresariales,1137,JEREZ 01,2023-01-20,2023-01-27,Viernes,7:00:00 ,9:30:00 
Seminario de Investigación IV,Doctorado en Ciencias Empresariales,1137,,2023-01-28,2023-01-28,Sábado,9:00:00 ,12:00:00 
