nombre_modulo,programa,no_clase,salon,Campus,fecha_inicio,fecha_fin,dia,hora_inicio,hora_fin
Inclusión Educativa,Maestría en Dirección de Instituciones Educativas,7249,SF_65,Santa Fe,2023-06-26,2023-06-26,Lunes,17:00:00 ,21:30:00 
Inclusión Educativa,Maestría en Dirección de Instituciones Educativas,7249,SF_65,Santa Fe,2023-06-28,2023-06-28,Miércoles,17:00:00 ,21:30:00 
"Dislexia, hiperactividad y disfunciones cerebrales",Maestría en Neuropsicología y Educación,1172,R 05,Mixcoac,2023-01-10,2023-01-12,Martes,16:00:00 ,20:00:00 
"Dislexia, hiperactividad y disfunciones cerebrales",Maestría en Neuropsicología y Educación,1172,R 13,Mixcoac,2023-01-16,2023-01-16,Lunes,16:00:00 ,20:00:00 
"Dislexia, hiperactividad y disfunciones cerebrales",Maestría en Neuropsicología y Educación,1172,R 13,Mixcoac,2023-01-17,2023-01-17,Martes,16:00:00 ,20:00:00 
"Dislexia, hiperactividad y disfunciones cerebrales",Maestría en Neuropsicología y Educación,1172,R 13,Mixcoac,2023-01-18,2023-01-18,Miercoles,16:00:00 ,20:00:00 
"Dislexia, hiperactividad y disfunciones cerebrales",Maestría en Neuropsicología y Educación,1172,R 13,Mixcoac,2023-01-19,2023-01-19,Jueves,16:00:00 ,20:00:00 
"Dislexia, hiperactividad y disfunciones cerebrales",Maestría en Neuropsicología y Educación,1172,R 13,Mixcoac,2023-01-20,2023-01-20,Viernes,16:00:00 ,20:00:00 
Funcionalidad visual y eficaci,Maestría en Neuropsicología y Educación,1194,R 05,Mixcoac,2023-01-11,2023-01-11,Martes,16:00:00 ,20:00:00 
Funcionalidad visual y eficaci,Maestría en Neuropsicología y Educación,1194,R 05,Mixcoac,2023-01-12,2023-01-12,Miercoles,16:00:00 ,20:00:00 
Funcionalidad visual y eficaci,Maestría en Neuropsicología y Educación,1194,R 05,Mixcoac,2023-01-16,2023-01-16,Lunes,16:00:00 ,20:00:00 
Funcionalidad visual y eficaci,Maestría en Neuropsicología y Educación,1194,R 05,Mixcoac,2023-01-17,2023-01-17,Martes,16:00:00 ,20:00:00 
Funcionalidad visual y eficaci,Maestría en Neuropsicología y Educación,1194,R 05,Mixcoac,2023-01-18,2023-01-18,Miercoles,16:00:00 ,20:00:00 
Funcionalidad visual y eficaci,Maestría en Neuropsicología y Educación,1194,R 05,Mixcoac,2023-01-19,2023-01-19,Jueves,16:00:00 ,20:00:00 
Funcionalidad visual y eficaci,Maestría en Neuropsicología y Educación,1194,R 05,Mixcoac,2023-01-20,2023-01-20,Viernes,16:00:00 ,20:00:00 
Atención a los alumnos con tal,Maestría en Neuropsicología y Educación,1193,R 28,Mixcoac,2023-05-02,2023-06-06,Martes,16:00:00 ,20:00:00 
Dificultades lingüísticas y su,Maestría en Neuropsicología y Educación,1174,R 28,Mixcoac,2023-01-24,2023-02-28,Martes,16:00:00 ,20:00:00 
Currículo e inclusión educativ,Maestría en Neuropsicología y Educación,1192,R 28,Mixcoac,2023-03-07,2023-04-25,Martes,16:00:00 ,20:00:00 
Lateralidad y rendimiento esco,Maestría en Neuropsicología y Educación,1254,R 16,Mixcoac,2023-01-24,2023-02-28,Martes,16:00:00 ,20:00:00 
Procesos de memoria y aprendiz,Maestría en Neuropsicología y Educación,1208,R 13,Mixcoac,2023-03-07,2023-04-25,Martes,16:00:00 ,20:00:00 
Funcionalidad auditiva para ha,Maestría en Neuropsicología y Educación,1257,R 13,Mixcoac,2023-05-02,2023-06-06,Martes,16:00:00 ,20:00:00 
Analítica de Datos,Maestría en Dirección del Capital Humano,1375,R 21,Mixcoac,2023-05-20,2023-05-20,Sábado,11:00:00 ,14:00:00 
Analítica de Datos,Maestría en Dirección del Capital Humano,1375,R 21,Mixcoac,2023-05-27,2023-06-24,Sábado,11:00:00 ,14:00:00 
Comunicación Organizacional,Maestría en Dirección del Capital Humano,1360,R 01,Mixcoac,2023-02-11,2023-02-11,Sábado,8:00:00 ,11:00:00 
Comunicación Organizacional,Maestría en Dirección del Capital Humano,1360,R 01,Mixcoac,2023-01-07,2023-02-04,Sábado,8:00:00 ,14:00:00 
"Persona, Organización y Cultur",Maestría en Dirección del Capital Humano,1376,R 21,Mixcoac,2023-01-07,2023-02-04,Sábado,8:00:00 ,14:00:00 
