nombre_modulo,programa,no_clase,no_alumnos
Sistemas de ayuda a la decisió,Especialidad en Dirección de Operaciones,1490,6
Sistemas de ayuda la decisión,Maestría en Ingeniería,1491,6
Sistemas de ayuda a la decisió,Maestría en Ingeniería y Gestión de la Cadena de Suministro,1492,6
"Análisis de Factores Sociales,",Maestría en Ciencia de Datos,1493,3
"Análisis de Factores Sociales,",Especialidad en Dirección de Operaciones,1494,3
"Análisis de Factores Sociales,",Especialidad en Ingeniería y Gestión Ambiental,1495,3
"Análisis de Factores Sociales,",Especialidad en Ingeniería y Gestión de Proyectos,1496,3
"Análisis de Factores Sociales,",Especialidad en Logística Internacional,1497,3
"Análisis de Factores Sociales,",Especialidad en Robótica y Manufactura,1498,3
"Análisis de Factores Sociales,",Especialidad en Simuladores Gráficos,1499,3
Diseño y venta de propuestas,Especialidad en Dirección de Operaciones,1500,3
Diseño y venta de propuestas,Especialidad en Ingeniería y Gestión Ambiental,1501,3
Diseño y venta de propuestas,Especialidad en Ingeniería y Gestión de Proyectos,1502,3
Diseño y venta de propuestas,Especialidad en Logística Internacional,1503,3
Diseño y venta de propuestas,Especialidad en Robótica y Manufactura,1504,3
Diseño y venta de propuestas,Especialidad en Simuladores Gráficos,1505,3
Diseño y venta de propuestas,Maestría en Ciencia de Datos,1506,3
Estadística Investigación,Maestría en Ingeniería y Gestión de la Cadena de Suministro,1507,3
Estadística para la Investigac,Maestría en Ingeniería,1508,3
Seminario de Investigación I,Maestría en Dirección de Operaciones,1509,3
Liderazgo,Especialidad en Dirección de Operaciones,1510,1
Liderazgo,Especialidad en Ingeniería y Gestión Ambiental,1511,1
Liderazgo,Especialidad en Ingeniería y Gestión de Proyectos,1512,1
Liderazgo,Especialidad en Logística Internacional,1513,1
Liderazgo,Especialidad en Robótica y Manufactura,1514,1
Liderazgo,Especialidad en Simuladores Gráficos,1515,1
Liderazgo,Maestría en Ciencia de Datos,1516,1
Administración de los Sistemas,Especialidad en Dirección de Operaciones,1517,6
Seminario de Actualización en,Maestría en Ingeniería,1518,6
Administración de los Sistemas,Maestría en Ingeniería y Gestión de la Cadena de Suministro,1519,6
Ingeniería de Proyectos,Especialidad en Ingeniería y Gestión de Proyectos,1520,30
Ingeniería de Proyectos,Maestría en Ingeniería,1521,3
Ingeniería de Proyectos,Especialidad en Ingeniería y Gestión de Proyectos,1522,30
Ingeniería de Proyectos,Maestría en Ingeniería,1523,3
Seminario de Investigación I,Maestría en Ingeniería,1524,3
Seminario de Investigación I,Maestría en Ingeniería y Gestión de la Cadena de Suministro,1525,3
Seminario de Investigación II,Maestría en Dirección de Operaciones,1526,3
Seminario de Investigación II,Maestría en Ingeniería y Gestión de la Cadena de Suministro,1527,3
Seminario de Investigación II,Maestría en Ingeniería,1528,3
Seminario de Tesis,Maestría en Dirección de Operaciones,1529,3
Análisis de Grandes Volúmenes,Especialidad en Dirección de Operaciones,1530,4
Análisis de Grandes Volúmenes,Especialidad en Ingeniería y Gestión Ambiental,1531,4
Análisis de Grandes Volúmenes,Especialidad en Ingeniería y Gestión de Proyectos,1532,4
Análisis de Grandes Volúmenes,Especialidad en Logística Internacional,1533,4
