nombre_modulo,programa,no_clase,no_alumnos
Interpretación de Contabilidad,Especialidad en Derecho de la Empresa,7406,20
Aspectos Jurídico-Corporativos,Especialidad en Derecho de la Empresa,7407,20
Aspectos Jurídico-Corporativos,Especialidad en Derecho de la Empresa,7408,20
Regulación del Entorno Económi,Especialidad en Derecho de la Empresa,7409,20
Financiamiento de la Empresa,Especialidad en Derecho de la Empresa,7410,20
Contratación Empresarial,Especialidad en Derecho de la Empresa,7411,20
Derecho de Propiedad Indust,Especialidad en Derecho de la Empresa,7412,20
Concursos Mercantiles,Especialidad en Derecho de la Empresa,7413,20
Aspectos Jurídicos Colaterales,Especialidad en Derecho de la Empresa,7414,20
Solución de Controversias,Especialidad en Derecho de la Empresa,7415,20
Taller Sobre Técnicas de Negoc,Especialidad en Derecho de la Empresa,7416,20
Fundamentos de Derecho Adminis,Maestría en Derecho Administrativo,1327,24
Función Pública,Maestría en Derecho Administrativo,1328,24
Acto y Procedimiento Admon.,Maestría en Derecho Administrativo,1329,24
Administración Activa,Maestría en Derecho Administrativo,1331,24
Contratos Públicos,Maestría en Derecho Administrativo,1333,24
Servicios Públicos,Maestría en Derecho Administrativo,1341,24
Seminario de Investigación y T,Maestría en Derecho Administrativo,1345,24
Defensa del Administrado,Maestría en Derecho Administrativo,1344,24
Temas Selectos de Derecho Admi,Maestría en Derecho Administrativo,1343,24
Temas Selectos de Humanismo Ju,Maestría en Derecho Administrativo,1349,24
Temas Selectos de Derecho Admi,Maestría en Derecho Administrativo,1342,24
Temas Selectos de Administraci,Maestría en Derecho Administrativo,1340,24
Seminario de Investigación y T,Maestría en Derecho Constitucional y Derechos Humanos,1153,19
Interpretación y Argumentación,Maestría en Derecho Constitucional y Derechos Humanos,1145,19
Fundamentos Histórico Filosófi,Maestría en Derecho Constitucional y Derechos Humanos,1159,19
Derechos Humanos,Maestría en Derecho Constitucional y Derechos Humanos,1169,19
Fundamentos Constitucionales,Maestría en Derecho Constitucional y Derechos Humanos,1162,19
Sistema Internacional y Region,Maestría en Derecho Constitucional y Derechos Humanos,1647,19
Protección y Promoción de los,Maestría en Derecho Constitucional y Derechos Humanos,1649,19
Seminario de Temas Selectos de,Maestría en Derecho Constitucional y Derechos Humanos,1648,19
Sem. de Derechos de Igualdad,Maestría en Derecho Constitucional y Derechos Humanos,1650,19
Temas Selectos de Nuevos Derec,Maestría en Derecho Constitucional y Derechos Humanos,1651,19
Conceptos Fundamentales de Der,Maestría en Derecho Fiscal,1280,25
Procedimientos Administrativos,Maestría en Derecho Fiscal,1281,25
Impuestos Federales,Maestría en Derecho Fiscal,1282,25
Contribuciones y Procedimiento,Maestría en Derecho Fiscal,1283,25
Procedimiento Contencioso Adm.,Maestría en Derecho Fiscal,1296,25
