No. de clase,Fecha de inicio del módulo,salon,Fecha de fin del módulo,Hora de inicio,Hora de fin,Lu,Ma,Mi,Ju,Vi,Sa
001132,20/01/2023,R 30,20/01/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001132,11/02/2023,R 30,18/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001132,25/03/2023,R 30,01/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001149,22/04/2023,R 29,22/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001149,06/05/2023,R 29,01/07/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001149,21/04/2023,R 29,21/04/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001150,06/05/2023,R 29,13/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001150,19/05/2023,R 29,19/05/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001150,22/04/2023,R 29,22/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001150,20/05/2023,R 29,27/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001130,21/01/2023,NR 04,28/01/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001130,25/02/2023,NR 04,01/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001130,11/02/2023,NR 04,18/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001130,20/01/2023,NR 04,20/01/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001130,24/02/2023,NR 04,24/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001131,10/02/2023,NR 08,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001131,04/03/2023,NR 08,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001131,25/03/2023,NR 08,01/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001131,21/01/2023,NR 08,28/01/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001131,11/02/2023,NR 08,25/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001131,03/03/2023,NR 08,03/03/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001146,06/05/2023,R 33,01/07/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001146,22/04/2023,R 33,22/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001146,21/04/2023,R 33,21/04/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001148,19/05/2023,R 33,19/05/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001148,22/04/2023,R 33,22/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001148,20/05/2023,R 33,27/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001148,06/05/2023,R 33,13/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001222,20/01/2023,NR 02,20/01/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001222,24/02/2023,NR 02,24/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001222,21/01/2023,NR 02,28/01/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001222,25/02/2023,NR 02,11/03/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001222,11/02/2023,NR 02,18/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001222,25/03/2023,NR 02,01/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001128,24/02/2023,NR 03,24/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001128,20/01/2023,NR 03,20/01/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001128,11/02/2023,NR 03,18/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001128,21/01/2023,NR 03,28/01/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001128,25/02/2023,NR 03,01/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001223,10/02/2023,JEREZ 05,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001223,03/03/2023,JEREZ 05,03/03/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001223,04/03/2023,R 37,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001223,11/02/2023,R 37,25/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001223,25/03/2023,R 37,01/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001223,21/01/2023,R 37,28/01/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001224,03/03/2023,NR 09,03/03/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001224,21/01/2023,NR 09,28/01/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001224,10/02/2023,NR 09,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001224,04/03/2023,NR 09,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001224,11/02/2023,NR 09,25/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001224,25/03/2023,NR 09,01/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001212,11/02/2023,NR 09,18/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001212,25/03/2023,NR 09,01/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001212,21/01/2023,NR 09,28/01/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001212,25/02/2023,NR 09,11/03/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001212,20/01/2023,NR 09,20/01/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001212,24/02/2023,NR 09,24/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001211,20/01/2023,R 43,20/01/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001211,24/02/2023,R 43,24/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001211,11/02/2023,R 43,18/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001211,21/01/2023,R 43,28/01/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001211,25/02/2023,R 43,11/03/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001211,25/03/2023,R 43,01/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001129,10/02/2023,NR 03,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001129,04/03/2023,NR 03,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001129,11/02/2023,NR 03,25/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001129,25/03/2023,NR 03,01/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001129,03/03/2023,NR 03,03/03/2023,11:00:00,14:00:00,N,N,N,N,Y,N
001129,21/01/2023,NR 03,28/01/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001210,10/02/2023,NR 02,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001210,04/03/2023,NR 02,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001210,21/01/2023,NR 02,28/01/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001210,03/03/2023,NR 02,03/03/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001210,11/02/2023,NR 02,25/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001210,25/03/2023,NR 02,01/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001127,20/05/2023,NR 06,27/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001127,19/05/2023,NR 06,19/05/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001127,22/04/2023,NR 06,22/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001127,06/05/2023,NR 06,13/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001126,21/04/2023,NR 06,21/04/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001126,06/05/2023,NR 06,01/07/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001126,22/04/2023,NR 06,22/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001117,10/02/2023,NR 01,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001117,04/03/2023,NR 01,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001117,11/02/2023,NR 01,25/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001117,25/03/2023,NR 01,01/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001117,21/01/2023,NR 01,28/01/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001117,03/03/2023,NR 01,03/03/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001116,21/01/2023,NR 01,28/01/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001116,25/02/2023,NR 01,11/03/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001116,11/02/2023,NR 01,18/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001116,25/03/2023,NR 01,01/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001116,20/01/2023,NR 01,20/01/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001116,24/02/2023,NR 01,24/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001125,06/05/2023,BUSNS_LAB,13/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001125,22/04/2023,BUSNS_LAB,22/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001125,19/05/2023,BUSNS_LAB,19/05/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001125,20/05/2023,BUSNS_LAB,27/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001124,21/04/2023,BUSNS_LAB,21/04/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001124,06/05/2023,BUSNS_LAB,01/07/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001124,22/04/2023,BUSNS_LAB,22/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001114,20/01/2023,BUSNS_LAB,20/01/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001114,24/02/2023,BUSNS_LAB,24/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001114,25/02/2023,BUSNS_LAB,11/03/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001114,11/02/2023,BUSNS_LAB,18/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001114,25/03/2023,BUSNS_LAB,01/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001114,21/01/2023,BUSNS_LAB,28/01/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001115,25/03/2023,BUSNS_LAB,01/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001115,04/03/2023,BUSNS_LAB,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001115,11/02/2023,BUSNS_LAB,25/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001115,03/03/2023,BUSNS_LAB,03/03/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001115,10/02/2023,BUSNS_LAB,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001115,21/01/2023,BUSNS_LAB,28/01/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001123,22/04/2023,NR 02,22/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001123,20/05/2023,NR 02,27/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001123,19/05/2023,NR 02,19/05/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001123,06/05/2023,NR 02,13/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001122,21/04/2023,NR 02,21/04/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001122,06/05/2023,NR 02,01/07/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001122,22/04/2023,NR 02,22/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001112,11/02/2023,R 36,18/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001112,25/03/2023,R 36,01/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001112,24/02/2023,R 36,24/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001112,20/01/2023,R 36,20/01/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001112,21/01/2023,R 36,28/01/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001112,25/02/2023,R 36,11/03/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001113,04/03/2023,R 36,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001113,10/02/2023,R 36,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001113,21/01/2023,R 36,28/01/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001113,11/02/2023,R 36,25/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001113,25/03/2023,R 36,01/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001113,03/03/2023,R 36,03/03/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001121,19/05/2023,NR 03,19/05/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001121,22/04/2023,NR 03,22/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001121,20/05/2023,NR 03,27/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001121,06/05/2023,NR 03,13/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001120,22/04/2023,NR 03,22/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001120,21/04/2023,NR 03,21/04/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001120,06/05/2023,NR 03,01/07/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001118,20/01/2023,NR 02,20/01/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001118,11/02/2023,NR 02,18/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001118,25/03/2023,NR 02,01/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001118,21/01/2023,NR 02,28/01/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001118,25/02/2023,NR 02,11/03/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001118,24/02/2023,NR 02,24/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001221,20/01/2023,NR 03,20/01/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001221,21/01/2023,NR 03,28/01/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001221,25/02/2023,NR 03,01/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001221,11/02/2023,NR 03,18/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001221,24/02/2023,NR 03,24/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001173,10/02/2023,JEREZ 05,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001173,03/03/2023,JEREZ 05,03/03/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001173,04/03/2023,R 37,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001173,21/01/2023,R 37,28/01/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001173,11/02/2023,R 37,25/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001173,25/03/2023,R 37,01/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001175,21/01/2023,NR 09,28/01/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001175,03/03/2023,NR 09,03/03/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001175,10/02/2023,NR 09,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001175,04/03/2023,NR 09,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001175,11/02/2023,NR 09,25/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001175,25/03/2023,NR 09,01/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001171,20/01/2023,NR 09,20/01/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001171,24/02/2023,NR 09,24/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001171,11/02/2023,NR 09,18/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001171,25/03/2023,NR 09,01/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001171,21/01/2023,NR 09,28/01/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001171,25/02/2023,NR 09,11/03/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001170,21/01/2023,R 43,28/01/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001170,20/01/2023,R 43,20/01/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001170,24/02/2023,R 43,24/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001170,25/02/2023,R 43,11/03/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001170,11/02/2023,R 43,18/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001170,25/03/2023,R 43,01/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001209,11/02/2023,NR 03,25/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001209,04/03/2023,NR 03,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001209,10/02/2023,NR 03,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001209,25/03/2023,NR 03,01/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001209,21/01/2023,NR 03,28/01/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001209,03/03/2023,NR 03,03/03/2023,11:00:00,14:00:00,N,N,N,N,Y,N
001119,10/02/2023,NR 02,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001119,04/03/2023,NR 02,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001119,03/03/2023,NR 02,03/03/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001119,21/01/2023,NR 02,28/01/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001119,11/02/2023,NR 02,25/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001119,25/03/2023,NR 02,01/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001166,06/05/2023,NR 05,01/07/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001166,22/04/2023,NR 05,22/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001166,21/04/2023,NR 05,21/04/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001166,06/05/2023,NR 05,01/07/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001166,22/04/2023,NR 05,22/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001166,21/04/2023,NR 05,21/04/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001167,19/05/2023,NR 05,19/05/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001167,06/05/2023,NR 05,13/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001167,22/04/2023,NR 05,22/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001167,20/05/2023,NR 05,27/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001168,10/02/2023,NR 05,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001168,04/03/2023,NR 05,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001168,25/03/2023,NR 05,01/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001168,11/02/2023,NR 05,25/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001168,21/01/2023,NR 05,28/01/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001168,03/03/2023,NR 05,03/03/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001094,25/02/2023,R 34,11/03/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001094,20/01/2023,R 34,20/01/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001094,24/02/2023,R 34,24/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001094,21/01/2023,R 34,28/01/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001094,11/02/2023,R 34,18/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001094,25/03/2023,R 34,01/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001290,06/05/2023,R 43,01/07/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001290,22/04/2023,R 43,22/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001290,21/04/2023,R 43,21/04/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001095,21/01/2023,R 34,28/01/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001095,03/03/2023,R 34,03/03/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001095,10/02/2023,R 34,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001095,04/03/2023,R 34,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001095,11/02/2023,R 34,25/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001095,25/03/2023,R 34,01/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001289,06/05/2023,R 43,13/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001289,19/05/2023,R 43,19/05/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001289,20/05/2023,R 43,27/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001289,22/04/2023,R 43,22/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001085,10/02/2023,R 29,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001085,04/03/2023,R 29,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001085,03/03/2023,R 29,03/03/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001085,11/02/2023,R 29,25/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001085,25/03/2023,R 29,01/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001085,21/01/2023,R 29,28/01/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001090,21/04/2023,R 32,21/04/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001090,06/05/2023,R 32,01/07/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001090,22/04/2023,R 32,22/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001082,21/01/2023,R 28,28/01/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001082,20/01/2023,R 28,20/01/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001082,24/02/2023,R 28,24/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001082,25/02/2023,R 28,11/03/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001082,11/02/2023,R 28,18/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001082,25/03/2023,R 28,01/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001092,19/05/2023,R 32,19/05/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001092,22/04/2023,R 32,22/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001092,20/05/2023,R 32,27/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001092,06/05/2023,R 32,13/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001083,11/02/2023,R 28,25/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001083,25/03/2023,R 28,01/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001083,04/03/2023,R 28,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001083,10/02/2023,R 28,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001083,21/01/2023,R 28,28/01/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001083,03/03/2023,R 28,03/03/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001084,24/02/2023,R 29,24/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001084,20/01/2023,R 29,20/01/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001084,25/03/2023,R 29,01/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001084,11/02/2023,R 29,18/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001084,21/01/2023,R 29,28/01/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001084,25/02/2023,R 29,11/03/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001089,06/05/2023,R 30,13/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001089,20/05/2023,R 30,27/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001089,22/04/2023,R 30,22/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001089,19/05/2023,R 30,19/05/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001087,22/04/2023,R 30,22/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001087,06/05/2023,R 30,01/07/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001087,21/04/2023,R 30,21/04/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001229,11/02/2023,NR 02,18/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001229,25/03/2023,NR 02,01/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001229,21/01/2023,NR 02,28/01/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001229,25/02/2023,NR 02,11/03/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001229,24/02/2023,NR 02,24/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001229,20/01/2023,NR 02,20/01/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001230,21/01/2023,NR 03,28/01/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001230,25/02/2023,NR 03,01/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001230,24/02/2023,NR 03,24/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001230,11/02/2023,NR 03,18/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001230,20/01/2023,NR 03,20/01/2023,19:00:00,22:00:00,N,N,N,N,Y,N
1231,03/03/2023,JEREZ 05,03/03/2023,19:00:00,22:00:00,N,N,N,N,Y,N
1231,10/02/2023,JEREZ 05,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
1231,21/01/2023,R 37,28/01/2023,11:00:00,14:00:00,N,N,N,N,N,Y
1231,04/03/2023,R 37,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
1231,11/02/2023,R 37,25/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
1231,25/03/2023,R 37,01/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
1232,21/01/2023,NR 09,28/01/2023,11:00:00,14:00:00,N,N,N,N,N,Y
1232,03/03/2023,NR 09,03/03/2023,19:00:00,22:00:00,N,N,N,N,Y,N
1232,11/02/2023,NR 09,25/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
1232,25/03/2023,NR 09,01/04/2023,11:00:00,14:00:00,N,N,N,N,N,Y
1232,10/02/2023,NR 09,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
1232,04/03/2023,NR 09,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
1220,21/01/2023,NR 09,28/01/2023,8:00:00,11:00:00,N,N,N,N,N,Y
1220,25/02/2023,NR 09,11/03/2023,8:00:00,11:00:00,N,N,N,N,N,Y
1220,11/02/2023,NR 09,18/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
1220,25/03/2023,NR 09,01/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
1220,20/01/2023,NR 09,20/01/2023,19:00:00,22:00:00,N,N,N,N,Y,N
1220,24/02/2023,NR 09,24/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
1219,20/01/2023,R 43,20/01/2023,19:00:00,22:00:00,N,N,N,N,Y,N
1219,24/02/2023,R 43,24/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
1219,21/01/2023,R 43,28/01/2023,8:00:00,11:00:00,N,N,N,N,N,Y
1219,25/02/2023,R 43,11/03/2023,8:00:00,11:00:00,N,N,N,N,N,Y
1219,11/02/2023,R 43,18/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
1219,25/03/2023,R 43,01/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
1218,04/03/2023,NR 03,11/03/2023,11:00:00,14:00:00,N,N,N,N,N,Y
1218,10/02/2023,NR 03,10/02/2023,19:00:00,22:00:00,N,N,N,N,Y,N
