nombre_modulo,programa,no_clase,salon,fecha_inicio,fecha_fin,dia,hora_inicio,hora_fin
Aprendizaje Automático,Especialidad en Ingeniería y Gestión Ambiental,1443,V_LAB_COM2,2023-01-17,2023-03-07,Martes,19:00:00 ,22:00:00 
Aprendizaje Automático,Especialidad en Dirección de Operaciones,1442,V_LAB_COM2,2023-01-17,2023-03-07,Martes,19:00:00 ,22:00:00 
Aprendizaje Automático,Especialidad en Ingeniería y Gestión de Proyectos,1444,V_LAB_COM2,2023-01-17,2023-03-07,Martes,19:00:00 ,22:00:00 
Aprendizaje Automático,Especialidad en Logística Internacional,1445,V_LAB_COM2,2023-01-17,2023-03-07,Martes,19:00:00 ,22:00:00 
Aprendizaje Automático,Especialidad en Robótica y Manufactura,1446,V_LAB_COM2,2023-01-17,2023-03-07,Martes,19:00:00 ,22:00:00 
Aprendizaje Automático,Especialidad en Simuladores Gráficos,1447,V_LAB_COM2,2023-01-17,2023-03-07,Martes,19:00:00 ,22:00:00 
Fundamentos de Bases de Datos,Maestría en Ciencia de Datos,1774,R 33,2023-01-17,2023-03-07,Martes,19:00:00 ,22:00:00 
Fundamentos de Ciencia de Dato,Maestría en Ciencia de Datos,1689,R 33,2023-01-17,2023-03-27,Lunes,19:00:00 ,22:00:00 
Gobierno y Protección de Datos,Maestría en Ciencia de Datos,1797,BUSNS_LAB,2023-01-17,2023-03-27,Lunes,19:00:00 ,22:00:00 
Inteligencia de Negocio y Solu,Especialidad en Ingeniería y Gestión Ambiental,1449,V_LAB_COM1,2023-01-17,2023-03-07,Martes,19:00:00 ,22:00:00 
Inteligencia de Negocio y Solu,Especialidad en Ingeniería y Gestión de Proyectos,1450,V_LAB_COM1,2023-01-17,2023-03-07,Martes,19:00:00 ,22:00:00 
Inteligencia de Negocio y Solu,Especialidad en Logística Internacional,1451,V_LAB_COM1,2023-01-17,2023-03-07,Martes,19:00:00 ,22:00:00 
Inteligencia de Negocio y Solu,Especialidad en Robótica y Manufactura,1452,V_LAB_COM1,2023-01-17,2023-03-07,Martes,19:00:00 ,22:00:00 
Inteligencia de Negocio y Solu,Especialidad en Simuladores Gráficos,1453,V_LAB_COM1,2023-01-17,2023-03-07,Martes,19:00:00 ,22:00:00 
Plan de operación de negocios,Especialidad en Dirección de Operaciones,1448,V_LAB_COM1,2023-01-17,2023-03-07,Martes,19:00:00 ,22:00:00 
Proyecto de Aplicación de Cien,Maestría en Ciencia de Datos,1855,,2023-01-17,2023-02-21,Martes,19:00:00 ,22:00:00 
Servicio de alimentos y bebida,Especialidad en Ingeniería y Gestión Ambiental,1455,NR 01,2023-01-17,2023-03-07,Martes,19:00:00 ,22:00:00 
Temas selectos de Innovación,Especialidad en Dirección de Operaciones,1454,NR 01,2023-01-17,2023-03-07,Martes,19:00:00 ,22:00:00 
Temas selectos de Innovación,Especialidad en Ingeniería y Gestión de Proyectos,1456,NR 01,2023-01-17,2023-03-07,Martes,19:00:00 ,22:00:00 
Temas selectos de Innovación,Especialidad en Logística Internacional,1457,NR 01,2023-01-17,2023-03-07,Martes,19:00:00 ,22:00:00 
Temas selectos de Innovación,Especialidad en Robótica y Manufactura,1458,NR 01,2023-01-17,2023-03-07,Martes,19:00:00 ,22:00:00 
Temas selectos de Innovación,Especialidad en Simuladores Gráficos,1459,NR 01,2023-01-17,2023-03-07,Martes,19:00:00 ,22:00:00 
Análisis de Ciclo de Vida,Especialidad en Ingeniería y Gestión Ambiental,1479,NR 02,2023-01-18,2023-03-22,Miercoles,19:00:00 ,22:00:00 
