No. ,Escuela,Grado,Programa,Código,Tipo,Duración (m),Créditos,Año inicio,# Materias,# Materias inglés,Acuerdo,Fecha,Última actualización
46,Ingeniería,Especialidad,Especialidad en Ingeniería y Gestión de Proyectos,EIGEP,Profesionalizante,12,50,2005,19,2,20180861,27/07/2018,2018
47,Ingeniería,Especialidad,Especialidad en Logística Internacional,ELOIN ,Profesionalizante,12,50,2012,20,2,20180860,27/07/2018,2018
48,Ingeniería,Especialidad,Especialidad en Robótica y Manufactura,EROMA,Profesionalizante,12,50,2001,22,2,20180855,27/07/2018,2018
49,Ingeniería,Especialidad,Especialidad en Simuladores Gráficos,ESIMG ,Profesionalizante,12,50,2012,20,2,20180858,27/07/2018,2018
50,Ingeniería,Maestría,Maestría en Ciencia de Datos,MCD,Profesionalizante,18,75,2020,23,0,20190920,25/04/2019,2019
51,Ingeniería,Maestría,Maestría en Dirección de Operaciones,MDIOP,Profesionalizante,24,42,2008,19,2,2006206,13/06/2006,2011
52,Ingeniería,Maestría,Maestría en Ingeniería,MING,Profesionalizante,24,42,2004,68,12,20180857,27/07/2018,2018
53,Ingeniería,Maestría,Maestría en Ingeniería y Gestión de la Cadena de Suministro,MIGC,Profesionalizante,24,42,2019,19,4,20181651,20/08/2018,2018
54,Ingeniería,Doctorado,Doctorado en Inteligencia Artificial,DIA,Investigación,48,,2022,69,0,20211415,31/08/2021,2021
55,Pedagogía,Maestría,Maestría en Dirección de Capital Humano,MDICH,Profesionalizante,18,75,2021,17,2,20220358,06/04/2022,2021
56,Pedagogía,Maestría,Maestría en Dirección de Instituciones Educativas,MDIES,Profesionalizante,18,75,2016,20,0,20150367,24/07/2015,2015
57,Pedagogía,Maestría,Maestría en Neuropsicología y Educación,MNE,Profesionalizante,18,75,2011,15,1,20100496,16/04/2010,2014
