"no_clase","nombre_modulo","fecha","dia","hora_inicio","hora_fin","programa","num_servicios","salon","isla","sede","escuela"
"10653","Finanzas Públicas","2023-02-04","Sábado","09:00:00","14:00:00","Maestría en Gobierno y Políticas Públicas",18,"SF_6-4","Santa Fe","Santa Fe","Gobierno y Economía"
"10653","Finanzas Públicas","2023-02-03","Viernes","16:00:00","21:00:00","Maestría en Gobierno y Políticas Públicas",18,"SF_6-4","Santa Fe","Santa Fe","Gobierno y Economía"
"1441","Selección de Materiales para","2023-01-16","Lunes","19:00:00","22:00:00","Especialidad en Desarrollo del Talento Humano",8,"V_LAB_COM2","Jerez / Zona Cielito","Mixcoac","Pedagogía"
"1441","Selección de Materiales para","2023-03-21","Martes","19:00:00","22:00:00","Especialidad en Desarrollo del Talento Humano",8,"V_LAB_COM2","Jerez / Zona Cielito","Mixcoac","Pedagogía"
"1395","Temas Selectos de Filosofía Na","2023-02-24","Viernes","11:00:00","13:00:00","Maestría en Filosofía Antigua",9,"R 15","Aula Magna / Comedor Invitados","Mixcoac","Filosofía"
"1397","Seminario Sobre la Recepción Á","2023-02-22","Miercoles","10:00:00","12:00:00","Maestría en Filosofía Antigua",9,"R 15","Aula Magna / Comedor Invitados","Mixcoac","Filosofía"
"1398","Introducción a la Traducción","2023-01-31","Martes","13:30:00","15:00:00","Maestría en Filosofía Antigua",3,"R 15","Aula Magna / Comedor Invitados","Mixcoac","Filosofía"
"1398","Introducción a la Traducción","2023-01-31","Jueves","13:30:00","15:00:00","Maestría en Filosofía Antigua",3,"R 15","Aula Magna / Comedor Invitados","Mixcoac","Filosofía"
"1194","Funcionalidad visual y eficaci","2023-01-10","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 05","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1194","Funcionalidad visual y eficaci","2023-01-10","Miercoles","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 05","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1194","Funcionalidad visual y eficaci","2023-01-10","Jueves","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 05","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1194","Funcionalidad visual y eficaci","2023-01-16","Lunes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 05","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1194","Funcionalidad visual y eficaci","2023-01-16","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 05","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1194","Funcionalidad visual y eficaci","2023-01-16","Miercoles","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 05","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1194","Funcionalidad visual y eficaci","2023-01-16","Jueves","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 05","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1194","Funcionalidad visual y eficaci","2023-01-16","Viernes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 05","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1193","Atención a los alumnos con tal","2023-05-16","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1193","Atención a los alumnos con tal","2023-05-23","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1193","Atención a los alumnos con tal","2023-05-02","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1193","Atención a los alumnos con tal","2023-05-09","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1193","Atención a los alumnos con tal","2023-05-30","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1193","Atención a los alumnos con tal","2023-05-02","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1193","Atención a los alumnos con tal","2023-05-09","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1193","Atención a los alumnos con tal","2023-05-30","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1193","Atención a los alumnos con tal","2023-05-16","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1193","Atención a los alumnos con tal","2023-05-23","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1174","Dificultades lingüísticas y su","2023-02-28","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1174","Dificultades lingüísticas y su","2023-02-07","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1174","Dificultades lingüísticas y su","2023-01-24","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1174","Dificultades lingüísticas y su","2023-02-14","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1174","Dificultades lingüísticas y su","2023-01-31","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1174","Dificultades lingüísticas y su","2023-02-21","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1172","Comunicación y Persuasión","2023-01-16","Lunes","16:00:00","21:00:00","Maestría en Neuropsicología y Educación",20,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1172","Comunicación y Persuasión","2023-01-16","Martes","16:00:00","21:00:00","Maestría en Neuropsicología y Educación",20,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1172","Comunicación y Persuasión","2023-01-16","Miercoles","16:00:00","21:00:00","Maestría en Neuropsicología y Educación",20,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1172","Comunicación y Persuasión","2023-01-16","Jueves","16:00:00","21:00:00","Maestría en Neuropsicología y Educación",20,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1192","Currículo e inclusión educativ","2023-03-21","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1192","Currículo e inclusión educativ","2023-03-14","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1192","Currículo e inclusión educativ","2023-04-18","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1192","Currículo e inclusión educativ","2023-03-07","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1192","Currículo e inclusión educativ","2023-03-28","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1192","Currículo e inclusión educativ","2023-04-25","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1257","Funcionalidad auditiva para ha","2023-05-09","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
